id,gender,age,annual_income,spending_core
57703,Male,67,62,59
124838.0,Female,30,34,73
738880.0,Female,49,54,42
746379.0,Male,59,93,14
78186,Male,30,99,97
889116.0,Female,19,65,50
800231.0,Male,60,30,4
579996.0,Female,35,120,79
830943.0,Female,28,76,40
5662,Male,19,46,55
129409.0,Male,64,19,3
161296.0,Male,24,60,52
75642,Male,24,38,92
727226.0,Male,29,28,82
843394.0,Female,38,113,91
894008.0,Female,23,18,94
831978.0,Male,27,88,69
517559.0,Male,34,78,1
764434.0,Male,18,33,92
450577.0,Male,58,88,15
69626,Male,29,28,82
686635.0,Female,49,33,14
334603.0,Female,20,16,6
657815.0,Male,37,20,13
999339.0,Male,19,74,10
245567.0,Male,42,86,20
346905.0,Male,49,62,56
773737.0,Female,44,73,7
288356.0,Female,27,78,89
431828.0,Male,35,28,61
75685,Female,21,54,57
691451.0,Female,49,42,52
140640.0,Female,20,37,75
730546.0,Male,28,77,97
74442,Male,24,38,92
442834.0,Male,18,33,92
30904,Male,26,62,55
895836.0,Female,21,33,81
708765.0,Male,50,85,26
394102.0,Female,49,62,48
27161,Female,56,79,35
21983,Male,46,98,15
212724.0,Male,39,69,91
718493.0,Male,48,60,49
94243,Male,48,39,36
982073.0,Female,60,50,49
86947,Male,48,77,36
892487.0,Female,55,57,58
625268.0,Female,68,48,48
232262.0,Male,19,46,55
601057.0,Female,51,44,50
468092.0,Male,18,59,41
465730.0,Male,38,71,75
830767.0,Male,42,86,20
287293.0,Male,48,60,49
771824.0,Male,31,25,73
260239.0,Female,36,37,26
689415.0,Male,37,20,13
427768.0,Female,33,86,95
580555.0,Female,47,78,16
283728.0,Male,40,71,95
312518.0,Female,49,65,59
302749.0,Female,34,78,22
593461.0,Male,70,46,56
366566.0,Female,36,85,75
304994.0,Female,38,113,91
273262.0,Male,19,46,55
952924.0,Male,39,69,91
480557.0,Male,37,78,1
235881.0,Male,57,54,51
928169.0,Female,36,87,27
542011.0,Male,67,19,14
387389.0,Female,41,103,17
788299.0,Male,48,61,42
474186.0,Male,30,99,97
144633.0,Male,53,33,4
977448.0,Female,27,40,47
40642,Male,24,38,92
263865.0,Male,63,48,51
541972.0,Male,28,87,75
437077.0,Female,45,54,53
490911.0,Male,65,63,52
321987.0,Female,54,101,24
444216.0,Male,22,20,79
386945.0,Male,25,77,12
619399.0,Male,32,137,18
644467.0,Female,43,48,50
117421.0,Male,35,24,35
287903.0,Male,67,62,59
404907.0,Female,66,63,50
971152.0,Male,39,78,88
105037.0,Female,42,34,17
654714.0,Male,19,64,46
411556.0,Female,27,78,89
583623.0,Female,46,25,5
414898.0,Female,27,60,50
240429.0,Female,40,29,31
82382,Female,32,97,86
979414.0,Female,24,20,77
474802.0,Male,21,15,81
352058.0,Male,69,44,46
924627.0,Female,45,28,32
775549.0,Female,34,78,22
594437.0,Female,42,34,17
924948.0,Female,32,77,74
